symbol,go,price,base_rsi,20210808
SOXL,True,46.63,65,62.17
FNGU,True,36.39,65,51.02
TQQQ,False,136.43,60,63.12
TECL,False,63.68,60,64.85
WEBL,True,86.40,60,46.79
UPRO,False,124.62,55,62.11
WANT,True,68.18,55,50.63
HIBL,True,65.48,55,53.55
TNA,False,89.04,50,51.79
RETL,True,221.44,50,48.04
UDOW,False,77.32,50,57.14
LABU,True,59.70,50,47.20
NAIL,False,84.26,50,57.17
DUSL,False,44.51,45,52.21
PILL,False,22.32,45,46.76
MIDU,False,62.40,45,55.35
DFEN,False,23.41,45,50.98
FAS,False,118.49,45,62.78
CURE,False,122.27,45,66.70
TPOR,False,37.47,40,45.63
DPST,False,208.08,40,56.19
DRN,False,24.72,40,61.14
GDXU,False,13.97,35,37.10
YINN,False,11.87,35,35.11
KORU,False,39.95,35,47.96
BNKU,False,54.87,35,60.74
UTSL,False,33.29,35,63.96
