,name,code,2016 매출,2017 매출,2018 매출,2019 매출,2020 매출,매출 증가 Check,2016 영업이익,2017 영업이익,2018 영업이익,2019 영업이익,2020 영업이익,영업이익 Check,영업이익 증가 Check,2016 ROE,2017 ROE,2018 ROE,2019 ROE,2020 ROE,ROE 평균 check,2016 배당금,2017 배당금,2018 배당금,2019 배당금,2020 배당금,배당금증가 Check,현금배당수익률,배당 checker,Unnamed: 1_level_1 매출,Unnamed: 1_level_1 영업이익,Unnamed: 1_level_1 ROE,Unnamed: 1_level_1 배당금,Unnamed: 2_level_1 매출,Unnamed: 3_level_1 매출,Unnamed: 2_level_1 영업이익,Unnamed: 3_level_1 영업이익,Unnamed: 2_level_1 ROE,Unnamed: 3_level_1 ROE,error code,2021 매출,2021 영업이익,2021 ROE,2021 배당금,Unnamed: 2_level_1 배당금,Unnamed: 4_level_1 매출,Unnamed: 5_level_1 매출,Unnamed: 4_level_1 영업이익,Unnamed: 5_level_1 영업이익,Unnamed: 4_level_1 ROE,Unnamed: 5_level_1 ROE,2015 매출,2015 영업이익,2015 ROE,2015 배당금
0,DRB동일,004840,5513.0,5439.0,5454.0,5470.0,4966.0,False,675.0,372.0,270.0,265.0,210.0,True,False,12.55,5.36,1.83,2.54,0.66,False,74.0,95.0,108.0,100.0,50.0,False,0.73,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSR,155660,2011.0,2264.0,2360.0,2363.0,2310.0,CHECK,134.0,139.0,99.0,107.0,121.0,True,False,8.5,8.15,5.54,5.83,5.67,False,50.0,50.0,50.0,50.0,50.0,True,0.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GS,078930,134624.0,155801.0,177444.0,177861.0,154442.0,False,17542.0,20408.0,22098.0,20331.0,9206.0,True,False,12.13,13.42,11.14,6.26,-2.82,False,1600.0,1800.0,1900.0,1900.0,1900.0,True,5.06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GS글로벌,001250,25538.0,33874.0,40585.0,38894.0,28150.0,False,364.0,480.0,561.0,583.0,323.0,True,False,6.07,6.22,5.48,-4.61,-24.91,False,0.0,25.0,25.0,,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HDC현대산업개발,294870,,,27927.0,42165.0,36702.0,False,,,3179.0,5515.0,5857.0,True,True,,,,20.3,8.85,True,,,438.0,438.0,600.0,True,2.3,True,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HMM,011200,45848.0,50280.0,52221.0,55131.0,64133.0,True,-8334.0,-4068.0,-5587.0,-2997.0,9808.0,False,False,-81.1,-129.27,-81.8,-55.46,8.92,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KEC,092220,2277.0,2263.0,2174.0,2017.0,2010.0,False,40.0,66.0,33.0,-70.0,-23.0,False,False,0.17,0.45,0.67,-8.99,-24.43,False,0.0,12.0,0.0,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KG동부제철,016380,23280.0,25962.0,25451.0,24282.0,23424.0,False,1436.0,-118.0,-164.0,346.0,1108.0,False,False,-115.44,-323.35,-278.19,-7.44,7.18,False,0.0,0.0,0.0,0.0,100.0,True,0.86,False,,,,,,,,,,,,,,,,,,,,,,,,,,
8,KG케미칼,001390,8085.0,10995.0,12828.0,20684.0,36864.0,True,727.0,762.0,725.0,1180.0,2430.0,True,False,6.32,1.88,1.37,32.69,11.94,True,350.0,350.0,350.0,350.0,400.0,True,1.68,False,,,,,,,,,,,,,,,,,,,,,,,,,,
9,KTis,058860,4367.0,4381.0,4508.0,4510.0,4536.0,True,132.0,111.0,90.0,138.0,90.0,True,False,6.38,5.23,4.92,5.6,4.4,False,80.0,80.0,80.0,90.0,80.0,False,3.11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LG이노텍,011070,57546.0,76414.0,79821.0,79754.0,95418.0,CHECK,1048.0,2965.0,2635.0,4764.0,6810.0,True,False,0.28,9.37,8.02,4.73,10.2,False,250.0,250.0,300.0,300.0,700.0,True,0.38,False,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LG전자,066570,553670.0,613963.0,613417.0,623062.0,632620.0,CHECK,13378.0,24685.0,27033.0,24361.0,31950.0,True,False,0.65,13.69,9.03,0.22,13.23,False,400.0,400.0,750.0,750.0,1200.0,True,0.89,False,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LG헬로비전,037560,11006.0,11199.0,11780.0,11122.0,10579.0,False,429.0,729.0,672.0,292.0,342.0,True,False,2.24,2.96,,-9.4,-39.53,False,75.0,75.0,75.0,75.0,75.0,True,1.93,False,,,,,,,,,,,,,,,,,,,,,,,,,,
